BINID,BINLAT,BINLOT,BINLOAD,OTID,BINOT-ID,OTLAT,OTLON,COMMENTS
0,38.2455400000000,21.7824500000000,0,0,0,38.2455400000000,21.7824500000000,????
2,38.2449865672367,21.7348203089678,752,2,1,38.2449865672367,21.7348203089678,
3,38.2457152810438,21.7340798658664,792,3,1,38.2457152810438,21.7340798658664,
4,38.2459232755450,21.7338682572985,1020,4,1,38.2459232755450,21.7338682572985,
6,38.2468003824243,21.7326090891946,962,6,1,38.2468003824243,21.7326090891946,
8,38.2481752550516,21.7342987563814,1036,8,1,38.2481752550516,21.7342987563814,
10,38.2480067808379,21.7343758292872,722,10,1,38.2480067808379,21.7343758292872,
11,38.2477755517710,21.7348084134679,1060,11,1,38.2477755517710,21.7348084134679,
12,38.2472438583633,21.7355056106394,1035,12,1,38.2472438583633,21.7355056106394,
14,38.2467309109606,21.7359464608630,1029,14,1,38.2467309109606,21.7359464608630,
15,38.2464167496552,21.7363527227470,1045,15,2,38.2464167496552,21.7363527227470,
16,38.2462759727002,21.7366764424704,789,16,1,38.2462759727002,21.7366764424704,
17,38.2459815331747,21.7368804834169,829,17,1,38.2459815331747,21.7368804834169,
20,38.2473183797296,21.7368023984697,954,20,1,38.2473183797296,21.7368023984697,
21,38.2471077587299,21.7370866451797,822,21,1,38.2471077587299,21.7370866451797,
23,38.2469001675211,21.7375459576840,1072,23,1,38.2469001675211,21.7375459576840,
26,38.2463171638217,21.7380147007158,802,26,1,38.2463171638217,21.7380147007158,
27,38.2460052826983,21.7384065959648,770,27,1,38.2460052826983,21.7384065959648,
36,38.2478491708749,21.7381550218114,952,36,1,38.2478491708749,21.7381550218114,
40,38.2494911520580,21.7360922906623,1037,40,1,38.2494911520580,21.7360922906623,
42,38.2493543946367,21.7382320165470,787,42,1,38.2493543946367,21.7382320165470,
42,38.2493543946367,21.7382320165470,894,42,2,38.2493543946367,21.7382320165470,
45,38.2484050052478,21.7392615328367,1037,45,1,38.2484050052478,21.7392615328367,
48,38.2479412891111,21.7399455559950,884,48,1,38.2479412891111,21.7399455559950,
49,38.2515499371990,21.7398277533642,721,49,1,38.2515499371990,21.7398277533642,
54,38.2499122088596,21.7378652204921,724,54,1,38.2499122088596,21.7378652204921,
56,38.2492855121482,21.7368729128414,871,56,1,38.2492855121482,21.7368729128414,
56,38.2492855121482,21.7368729128414,850,56,2,38.2492855121482,21.7368729128414,
56,38.2492855121482,21.7368729128414,729,56,3,38.2492855121482,21.7368729128414,
59,38.2540119972923,21.7375835602686,1097,59,1,38.2540119972923,21.7375835602686,
60,38.2521982276975,21.7371620815396,1017,60,1,38.2521982276975,21.7371620815396,
63,38.2521304670377,21.7383331366711,851,63,1,38.2521304670377,21.7383331366711,
64,38.2520446528835,21.7388544981892,1097,64,1,38.2520446528835,21.7388544981892,
64,38.2520446528835,21.7388544981892,868,64,2,38.2520446528835,21.7388544981892,
